"","DepthClass","source","x","y","mlra_UCRB_m","us_eco_l3_m","iwahashiLF_m","ca_mosaic_m","cc_mosaic_m","ci_mosaic_m","cs_mosaic_m","dah_mosaic_m","gmph_mosaic_m","lc_mosaic_m","mbi_mosaic_m","mc_mosaic_m","mca_mosaic_m","mrrtf_mosaic_m","mrvbf_mosaic_m","planc_mosaic_m","po_mosaic_m","profc_mosaic_m","sl_mosaic_m","spi_mosaic_m","swi_mosaic_m","tc_mosaic_m","tpi_mosaic_m","tri_mosaic_m","tsc_mosaic_m","twi_mosaic_m","L43_med_m","L43_std_m","L51_med_m","L54_med_m","L57_med_m","TIR_med_m","TIR_std_m","SDT","BDRICM_M_250m_ll_m","BDRLOG_M_250m_ll_m","BDTICM_M_250m_ll_m","CAlog_10_rs_m","EASTNESS_rs_m","ELEVm_m","LFELEMS_m","NENESS_rs_m","NWNESS_rs_m","ppt_ann_rs_m","ppt_ratio_rs_m","PROTINDEX_rs_m","RELHT1_rs_m","RELHT128_rs_m","RELHT16_rs_m","RELHT2_rs_m","RELHT32_rs_m","RELHT4_rs_m","RELHT64_rs_m","RELHT8_rs_m","RELMNHT1_rs_m","RELMNHT128_rs_m","RELMNHT16_rs_m","RELMNHT2_rs_m","RELMNHT32_rs_m","RELMNHT64_rs_m","RELMNHT8_rs_m","SOUTHNESS_rs_m","temp_ann_rs_m","gammaAbsbDose_m","gammaPotassium_m","gammaThorium_m","gammaUranium_m"
"345","BR","SSURGO",-1168414.27141854,1741491.47004031,"45","20","2",6769.1337890625,-0.00111279985867441,-1.50186586380005,0.286050170660019,-0.215899974107742,9,-0.00411834334954619,-0.192321538925171,-0.00293248193338513,58302.1953125,0.129077658057213,0.489362090826035,-0.00121021387167275,1.51578319072723,-0.00220167334191501,10.6613636016846,1135.02807617188,4.71190547943115,7.83969699114095e-06,-0.853811264038086,27.5920696258545,42.0862464904785,10.3941450119019,0.173775672912598,0.0517492070794106,0.544567108154297,0.128684967756271,0.0942021012306213,296,14.4636135101318,10,200,8,1866,3.74871587753296,0.71095597743988,2037.591796875,0,0.999985039234161,-0.00545846903696656,408.194885253906,3.56001210212708,0.124083444476128,2.69384765625,134.510131835938,20.3060302734375,5.142822265625,38.2652587890625,9.0611572265625,58.9794921875,13.2652587890625,-0.2408447265625,-119.672607421875,-20.1337890625,-0.653076171875,-40.65625,-84.76806640625,-8.740478515625,-0.703236520290375,881.815063476562,33.7791290283203,1.10001564025879,3.91719436645508,1.57010102272034
"371","BR","SSURGO",-1158607.1445742,1805169.07307087,"45","20","2",6653.60400390625,0.000998757197521627,2.34000992774963,0.449023246765137,0.486218184232712,6,-0.0106806065887213,-0.247538551688194,-0.00826478935778141,10273.55859375,0.000482704082969576,0.00764564052224159,0.00235565309412777,1.46447312831879,-0.00424295291304588,25.9265079498291,3209.697265625,3.46307945251465,6.97388604748994e-05,-1.84343945980072,59.285831451416,43.626277923584,9.55278873443604,0.125676482915878,0.0182051230221987,0.573590636253357,0.106182426214218,0.0407112762331963,299,12.5630178451538,4,200,11,1616,3.89353585243225,-0.321244984865189,1491.83679199219,0,-0.896781921386719,-0.442472904920578,276.836303710938,3.35554265975952,0.246515691280365,14.673583984375,174.693969726562,50.755126953125,27.8775634765625,77.6123046875,45.6123046875,107.653076171875,50.755126953125,-0.2039794921875,-18.12646484375,-33.8524169921875,-0.3609619140625,-23.8917236328125,-18.6634521484375,-6.6785888671875,0.946996092796326,1230.96411132812,42.1935997009277,1.69847476482391,3.97289395332336,1.63639795780182
"394","BR","SSURGO",-1176170.3701125,1788513.68988485,"45","20","3",1927.38024902344,0.00181120506022125,20.285135269165,0.0607018396258354,0.0646172314882278,2,0.00102895684540272,0.12299158424139,0.000133007299154997,20495.724609375,3.81497359275818,0.178181648254395,0.0144605776295066,1.57644140720367,0.000432560889748856,4.42334890365601,149.336364746094,5.94285535812378,1.57805072831252e-06,0.405196398496628,8.32102108001709,51.3165702819824,10.123420715332,0.147116005420685,0.03440772742033,0.600075960159302,0.0979112237691879,0.0353399962186813,300.700012207031,13.8049736022949,5,200,17,5533,3.24151206016541,-0.585741996765137,1791.18371582031,100,-0.987290441989899,-0.158926218748093,297.399139404297,3.66708564758301,0.0165303070098162,1.2041015625,481.795989990234,43.061279296875,2.89794921875,109.081665039062,6.8775634765625,351.448974609375,12.653076171875,0.1265869140625,89.014404296875,7.398193359375,0.3438720703125,13.2828369140625,32.2894287109375,3.154296875,0.810497581958771,1161.63342285156,68.1657257080078,2.16945791244507,8.59554958343506,2.94689536094666
"453","BR","SSURGO",-1172223.56417362,1776008.64893626,"45","20","4",3387.43994140625,0.000410743203246966,13.5681552886963,0.0442501679062843,-0.00248016184195876,1,-0.000281152781099081,0.00633099349215627,-0.000334691983880475,79774.84375,5.8323016166687,2.15757775306702,0.0112514039501548,1.56703817844391,-0.000303679349599406,1.73912107944489,103.08814239502,6.92789840698242,2.99943224035815e-07,0.0166026782244444,5.04971599578857,46.969409942627,11.6286125183105,0.147329360246658,0.0392284207046032,0.62613171339035,0.148522973060608,0.0618109740316868,300.200012207031,15.7975616455078,22,200,8,7713,3.74195504188538,0.870023846626282,1915.97961425781,100,0.266589194536209,-0.96381026506424,335.834381103516,3.70469617843628,0.0161872319877148,0.8775634765625,183.918334960938,13.2041015625,1.7958984375,22.6123046875,3.3673095703125,47.30615234375,6.51025390625,-0.044921875,31.2490234375,0.30712890625,-0.0926513671875,1.1187744140625,5.5469970703125,-0.385986328125,0.493009775876999,1095.70153808594,49.676872253418,1.79085409641266,5.7299017906189,1.90734815597534
"480","BR","SSURGO",-1196626.38090957,1745816.43216789,"45","20","1",3319.05053710938,-0.00106577284168452,-1.19765937328339,0.248063132166862,-0.336054086685181,2,0.00768350996077061,0.213654294610023,-0.00186073698569089,3377.18701171875,0.0302986185997725,0.0259704422205687,-0.00175211601890624,1.54770052433014,0.00330999307334423,25.5954570770264,1620.17529296875,3.62838101387024,2.56077564699808e-05,2.33740949630737,65.4364929199219,59.556827545166,8.79949188232422,0.276217609643936,0.103486195206642,0.481846570968628,-0.0378720201551914,0.130121946334839,293.350006103516,13.8206119537354,27,200,19,3010,3.53861784934998,0.130847617983818,2316.63256835938,20,0.793550670146942,0.608504176139832,366.715393066406,3.50437188148499,0.129540279507637,15.428466796875,490.938720703125,181.5712890625,32.653076171875,326.612182617188,67.28564453125,424.5712890625,118.46923828125,0.542724609375,249.1494140625,63.06689453125,1.51171875,114.012451171875,169.064697265625,22.228759765625,-0.991402566432953,906.830993652344,31.4596996307373,1.18442738056183,3.34219622612,1.22892034053802
"483","BR","SSURGO",-1147716.47404063,1765914.02902188,"46","20","1",17114.482421875,-0.00242417375557125,-8.97197532653809,0.101969942450523,0.118152797222137,5,4.01189499825705e-05,-0.0972933545708656,-0.00170104613061994,17065.5,0.361914247274399,0.677655637264252,-0.0098678870126605,1.54222857952118,0.000104089398519136,7.60623455047607,2262.25805664062,5.32841539382935,3.27289080814808e-06,-0.224701285362244,20.6922054290771,49.7063674926758,11.7380456924438,0.158148840069771,0.0384371690452099,0.605539441108704,0.105413965880871,0.0649425312876701,296,13.8131418228149,31,200,14,1629,4.11149787902832,-0.328052699565887,2069.24487304688,100,-0.899943351745605,-0.436006784439087,345.9814453125,3.84008955955505,0.0502070896327496,3.244873046875,272.571411132812,70.8775634765625,6.530517578125,135.69384765625,12.265380859375,192.428588867188,34.4285888671875,0.151123046875,88.8170166015625,2.4052734375,0.326416015625,9.66259765625,43.0916748046875,1.55712890625,0.944659352302551,958.653991699219,56.0453071594238,1.82216334342957,6.47395324707031,2.62474370002747
"526","BR","SSURGO",-1165084.68967136,1800355.15891987,"45","20","1",1771.43188476562,0.00448199082165956,18.7084560394287,0.197172448039055,0.0698650404810905,2,-2.24749928747769e-05,0.161179199814796,-0.00109008885920048,1960.2587890625,0.77161318063736,0.118193559348583,0.0115469582378864,1.56579566001892,-0.000227595039177686,11.9855165481567,365.229522705078,3.57955026626587,1.21447510537109e-05,0.706056296825409,18.285514831543,44.0060043334961,9.0261812210083,0.145727336406708,0.0388859696686268,0.555250763893127,0.124331630766392,0.0601774342358112,296.399993896484,14.2613792419434,4,200,15,1291,3.31831192970276,-0.953908681869507,1581.2041015625,100,-0.462314695119858,0.886715888977051,280.567199707031,3.4042820930481,0.0321254096925259,2.8367919921875,231.734741210938,93.163330078125,5.7958984375,122,10.9796142578125,171.979614257812,50.71435546875,0.2816162109375,1.5511474609375,22.917236328125,0.6734619140625,32.299072265625,39.9632568359375,9.271484375,-0.300096988677979,1213.51635742188,44.964656829834,1.60069501399994,4.50930547714233,2.11134481430054
"530","BR","SSURGO",-1178174.10648244,1753472.848676,"45","20","1",34921.03125,-0.005005843937397,-10.204662322998,0.361701726913452,-0.0986810550093651,6,0.00490653328597546,0.028327938169241,-0.00795673206448555,34921.03125,0.00113315088674426,0.0868548154830933,-0.0064224018715322,1.51201462745667,0.00145015341695398,24.9972438812256,14884.21484375,4.15729284286499,8.57644117786549e-05,0.0379505008459091,67.3543319702148,46.1837425231934,10.7504167556763,0.148267894983292,0.0216825027018785,0.578179717063904,0.138872057199478,0.0623801201581955,302.5,11.6195697784424,1,197.315475463867,18,2006,4.14889240264893,0.999870240688324,1843.57141113281,1,0.695625066757202,-0.71840500831604,289.652465820312,3.73981523513794,0.232549786567688,17.8775634765625,282.3876953125,145.673461914062,36.9591064453125,197.061157226562,76.1632080078125,254.510131835938,120.755126953125,-0.2816162109375,112.387939453125,-26.3031005859375,-0.6373291015625,12.779541015625,65.683837890625,-5.907958984375,0.0161078590899706,1065.25830078125,53.0443229675293,1.70757114887238,6.32369184494019,2.42772603034973
"575","BR","SSURGO",-1202963.23460899,1753303.7916508,"45","20","1",2559.19506835938,0.00281407008878887,11.4137153625488,0.248905554413795,-0.148139595985413,3,-0.000900878803804517,0.0764759629964828,-0.00206017587333918,2559.19506835938,0.539890348911285,0.187863111495972,0.00676503963768482,1.55342423915863,-0.000393491500290111,12.2865343093872,565.973388671875,3.49599981307983,1.24213820527075e-05,1.0933666229248,35.2922134399414,57.5442352294922,9.37807655334473,0.125315397977829,0.0132517665624619,0.530075788497925,0.190261051058769,0.0881686508655548,297.700012207031,10.9821701049805,8,200,11,3200,3.50924897193909,0.92596161365509,2018.408203125,2,0.921769738197327,-0.387737721204758,345.615509033203,3.67543196678162,0.0765001773834229,5.959228515625,258.081665039062,104.7958984375,11.3878173828125,150.387817382812,27.551025390625,199.428588867188,58.1837158203125,0.0531005859375,77.9515380859375,34.9537353515625,0.2056884765625,62.681884765625,56.2392578125,9.5157470703125,-0.377617686986923,1036.58056640625,46.1030960083008,1.27540671825409,6.24764013290405,2.23980760574341
"610","BR","SSURGO",-962008.606346062,1739962.84408062,"65","21","1",2515.8681640625,0.00114827626384795,5.68995141983032,0.129742875695229,0.116161584854126,3,0.00524603435769677,0.241226330399513,-0.000223601527977735,2567.24780273438,0.508866667747498,0.31920126080513,0.00341967702843249,1.57400512695312,0.00242016720585525,12.9702663421631,601.047058105469,4.16421270370483,9.87130806606729e-06,1.39056479930878,32.7969131469727,49.2918243408203,9.3017749786377,0.383570283651352,0.135407865047455,0.589044153690338,-0.00940880179405212,0.185032024979591,292.649993896484,13.768744468689,5,200,11,1589,3.26245403289795,-0.999990165233612,2915.775390625,100,-0.71023416519165,0.703965485095978,407.892456054688,4.44575691223145,0.0630655363202095,3.3876953125,254.87744140625,82.65283203125,9.836669921875,105.958984375,30.89794921875,148.55078125,56.1630859375,0.4775390625,-67.466796875,15.09912109375,1.24951171875,-2.57080078125,-20.18994140625,13.261962890625,0.00443265167996287,384.301055908203,57.2153511047363,1.90802764892578,7.8074312210083,1.96955716609955
"718","BR","SSURGO",-1077883.51747049,1626671.98887878,"46","20","2",4955.1689453125,0.000214856481761672,0.148528054356575,0.177251696586609,-0.152956500649452,9,0.000380730692995712,0.0326432622969151,-0.000492156483232975,5088.01513671875,0.119727313518524,0.286034047603607,0.000291090429527685,1.53676915168762,0.000194707623450086,15.0100183486938,1319.87121582031,4.17884397506714,1.75575678440509e-06,-0.251996576786041,16.9605979919434,57.8421821594238,9.82217693328857,0.228222101926804,0.0879473388195038,0.604792952537537,0.164120644330978,0.126658618450165,292.399993896484,12.6527070999146,8,200,12,2937,3.84445643424988,0.998533487319946,2055.89794921875,100,0.667788505554199,-0.744351029396057,420.617614746094,3.69904613494873,0.0659846216440201,2.346923828125,95,17.7958984375,3.3876953125,32.30615234375,5.469482421875,43.938720703125,9.48974609375,-0.2734375,-19.365966796875,-11.97509765625,-0.698486328125,-15.40185546875,-22.360107421875,-6.236572265625,0.0541378557682037,862.445434570312,43.0977668762207,0.942403197288513,7.31131362915039,1.96555995941162
"723","BR","SSURGO",-1008060.83859108,1658627.03695298,"65","21","1",3321.4638671875,0.00247129681520164,4.72557687759399,0.350813239812851,0.253325194120407,3,0.000670808600261807,0.122630588710308,-0.000142544144182466,3321.4638671875,0.00158231554087251,0.00109307537786663,0.00264480453915894,1.53382062911987,0.000245691218879074,25.8644237518311,1606.97155761719,3.25610542297363,4.09083531849319e-06,1.78650569915771,55.6194610595703,68.0372619628906,8.81797981262207,0.356321841478348,0.260552108287811,0.579475522041321,-0.184319078922272,0.211449682712555,289.700012207031,11.766695022583,30,186.092529296875,27,2703,3.55940318107605,-0.992153823375702,2690.591796875,2,-0.613154172897339,0.78996330499649,705.664672851562,3.90626454353333,0.113423451781273,11.9794921875,354.591796875,218.69384765625,24.734619140625,353.7958984375,50.6123046875,354.591796875,101.938720703125,0.3671875,175.9228515625,52.210693359375,1.00146484375,138.99853515625,210.85205078125,14.518310546875,-0.125022947788239,473.488708496094,17.5782794952393,0.349484086036682,3.11430859565735,0.820104122161865
"743","BR","SSURGO",-1037803.7442615,1642669.25060651,"46","20","2",83440.796875,-0.00300949462689459,-20.1426086425781,0.186356425285339,0.0045628217048943,9,-0.00416662823408842,-0.259732782840729,-0.00360169517807662,127897.9609375,0.0615899153053761,1.58872604370117,-0.0105781489983201,1.51300525665283,-0.0024918164126575,5.46662282943726,5572.14697265625,5.69487810134888,1.13238593257847e-05,-1.40903544425964,21.1441307067871,46.6053276062012,12.6903400421143,0.311298072338104,0.168388292193413,0.57473623752594,-0.0537567958235741,0.209995523095131,291.100006103516,11.9179220199585,14,200,15,1457,4.40936470031738,-0.97897481918335,2103.34692382812,100,-0.548003256320953,0.836476147174835,531.26513671875,3.60104727745056,0.0901962444186211,1.87744140625,178.428588867188,25.959228515625,3.69384765625,43.265380859375,6.69384765625,103.061157226562,11.755126953125,-0.334716796875,-0.941650390625,-16.227294921875,-0.8916015625,-15.310791015625,-9.716796875,-10.17919921875,-0.203981176018715,819.76025390625,34.909595489502,1.2248682975769,7.81780242919922,-0.460417687892914
"756","BR","SSURGO",-1030096.45487886,1670150.0910665,"65","21","2",6942.591796875,-0.00765809556469321,-34.2778167724609,0.130604982376099,-0.00634331163018942,5,-0.00417502596974373,-0.350270450115204,-0.00592562835663557,6284.29541015625,1.58001482486725,1.55857229232788,-0.0503752417862415,1.48850059509277,-0.00199755979701877,4.57951498031616,448.182037353516,4.58927965164185,3.33315692842007e-05,-1.90011382102966,30.8179454803467,53.3079719543457,11.3557004928589,0.410018414258957,0.152670174837112,0.464473694562912,-0.240435466170311,0.241631805896759,287.399993896484,10.2223320007324,25,200,12,2527,3.35401511192322,0.912899613380432,2282.48974609375,21,0.356887817382812,-0.934147238731384,557.486145019531,4.24628686904907,0.0772434398531914,6.18359375,219.530517578125,92.5712890625,16.18359375,106.755126953125,41.18359375,125.224365234375,70,0.493896484375,-159.39599609375,29.314208984375,1.3515625,16.150146484375,-24.69287109375,16.39111328125,0.408184051513672,725.6357421875,46.4162521362305,1.15299940109253,6.59253931045532,2.42061185836792
